,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
177,ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.,Corporate Brand and Communication Manager,11 BISHAN STREET 21 573943,Full Time,Manager,"Advertising / Media , Marketing / Public Relations , Others","$5,000to$10,000","Roles & Responsibilities Develop and manage brand building activities and marketing communication Implement corporate advertising campaigns and be the key contact in steering external agencies (media and creative) Develop media strategies in alignment with media agencies and different stakeholders Drive overall brand and corporate communication based on a clear understanding and usage of digital analytics and market research data Further develop and update the digital infrastructures by analyzing the user engagement, customer journey management and e-commerce touch points Manage interpersonal relations, top-level management communication and coordinate project setups and vendor negotiations Plan and track budgets to ensure consistent reporting within the group ","Requirements Studies in the field of marketing, media science, business and/or IT/ Information management Excellent knowledge in the field of brand management and marketing communication, experience in the implementation of corporate advertising campaigns and steering of external agencies Deep knowledge in the field of media planning and digital communication as well as digital analytics and market research Knowledge in digital infrastructures, customer journey management and e-Commerce touch point management Strong intercultural know-how, skills in relation to interpersonal relations, top-level management communication, coordination and negotiation Strong project management skills and international project experience Strong presentation skills Resilient and stress-resistant personality Strong analytical mindset Good communication and interpersonal skill, attentive to details, critical and strategic thinking Good team skills and work experience in international team Strong intercultural moderation, presentation and communication skills, creative mindset, resilience, enjoy working in an international and intercultural team "
178,DBS BANK LTD.,"AVP  /  Snr Assoc, IBGT Platform Support – Acct Mgmt Reporting, IBG Tech, T&O (180002JW)",NONE,"Permanent, Full Time",Manager,Banking and Finance,"$5,000to$10,000","Roles & ResponsibilitiesJob Purpose This role provides operational support for all production practices for the Account Management, Analytics, & Reporting Applications for DBS Bank Institutional Banking Group Technology.  Responsibilities   Provide 7 x 24 operational support for all production practices including weekends and holidays for Account Management, Analytics & Reporting applications Provide technical expertise to facilitate investigation of complex technical issues. Uses technical knowledge to provide solutions to complex issues in a timely and efficient manner.  Posses good domain knowledge on Account opening processes, KYC, Corporate reporting and Analytics Possesses strong understanding of technical and subject matter expertise that can be leveraged to identify and resolve issues in a timely fashion.  Leads technical team in support of 3 -5 operations teams and support engineers by driving investigation of Incidents and corrective action follow-ups Leads formal and informal Post Event Problem Reviews (PEPRs), coordinates delivery dates, define action items, and pursue issues to closure for problems that occurred for all Severity Level 1 – 3 client impacting incidents.  Ensures that all stakeholders are sufficiently involved in the Problem Management process. Act as project Leader facilitating weekly problem management meetings with Sr. technical staff reviewing root cause and corrective actions. Contributes metrics based reporting on the production and/or pre-production environment. Keep current with emerging technologies and lead implementation efforts as applicable. Participate in knowledge transfer to ensure better grasp of the product and domain. Coordinate with Application Development Team to successfully deploy software releases in both User Acceptance Testing and Production environments ","Requirements Strong technical knowledge of  JBOSS, MariaDB, MSSQL, Hadoop, Spark, R AIX, SQL scripting, Shell scripting and TWS Job scheduling Able to provide 24x7 operational support including Weekends and public holidays  Very clear communication skills both written and oral Able to drive/recommend solutions to extended technology teams. Self-starter with excellent crisis management skills. Able to lead and facilitate meetings, to lead the technical team in driving investigation of incidents and corrective actions follow-ups  Some development skills as occasional scripting skills will be put to use. "
179,GOOGLE ASIA PACIFIC PTE. LTD.,"Product Marketing Manager, Small and Medium Business - Singapore","MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Manager,Marketing / Public Relations ,"$10,000to$16,667","Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Marketing Know the user. Know the magic. Connect the two. At its core, marketing at Google starts with technology and ends with the user, bringing both together in unconventional ways. Our job is to demonstrate how Google's products solve the world's problems--from the everyday to the epic, from the mundane to the monumental. And we approach marketing in a way that only Google can--changing the game, redefining the medium, making the user the priority, and ultimately, letting the technology speak for itself. The role: Product Marketing Manager, Small and Medium Business - Singapore As a Marketing manager, you are a fully dedicated business leader, shaping the future of one of our many Google products. Whether you're on a consumer product (like Gmail, Search, Maps, Chrome, Android) or a business product (AdWords, AdSense, DoubleClick, Analytics), you take part in a complete marketing experience as you lead every facet of the product's journey. From determining positioning, naming, competitive analysis, feature prioritization and external communications, you help shape the voice of the product and help it grow a loyal consumer base. This means you work with a cross-functional team across sales, corporate communications, legal, webmasters, product development, engineering and more. In this role, you'll be involved with product marketing strategy from beginning to end. Responsibilities:  Develop relationships and collaborate with local country teams, business teams, and product development teams by identifying and optimizing new strategic opportunities. Plan, implement and track Google’s small business marketing strategy and resource deployment in APAC. Identify priorities and strategies for Google in the small business market in Asia’s emerging markets and lead a cross-functional team to implement this strategy. ","RequirementsMinimum qualifications:  Bachelor's degree or equivalent practical experience. 5 years of experience working in a marketing role and/or consulting on projects related to marketing. 1 year of experience in product marketing, marketing campaign management, or consulting. Experience leading matrixed teams in cross-functional environments. Ability to speak and write in English fluently and idiomatically.  Preferred qualifications:  Experience in managing direct sales (online and offline) and 3rd party channels. Ability to influence at all levels and work effectively across functions and geographies. Demonstrated analytical skills and ability to develop product strategy/positioning, business plans, customers and market insights, analyze campaign effectiveness/ROI. Demonstrated ability to think strategically about complex issues, create thoughtful recommendations, action plans, projects and campaigns that drive high business impact. Interest in analyzing small and medium business products, customers and market dynamics, and strong aptitude for determining the optimal way to position products in the market. Excellent written/oral communication skills and strong organizational skills. "
180,FAIRCHILD SEMICONDUCTOR PTE. LTD.,Business Process Analyst,"TECHPOINT, 10 ANG MO KIO STREET 65 569059",Permanent,Professional,Others,NONE,"Roles & ResponsibilitiesPrimary Role Work with customers, sales and the Service Review Board to define, recommend, and implement B2B/EDI and service offerings that enable operational efficiencies and/or increased market share for ON Semiconductor.   The Analyst must also provide overall Forecast Management System (FMS) process maintenance and program support for existing and new service program setups, coordinate and prioritize software and report changes, develop training material, global coordination of FMS activities, and configuration management of FMS.   Responsibilities  Provide superior customer service Provide supply chain and subject matter expertise to customers, sales and the service program review board in order to recommend and implement EDI and service programs to meet customer expectations. Project manage the implementation of EDI and service programs utilizing cross-functional teams- establish banks, logistic flows, customer codes, miscellaneous guts table entries, FMS and EDI settings and maintaining the project plan document. Ensure our Service Engagement processes support the changing requirements of our customers. Work with EDI Information Technology (IT) team for new EDI/service program implementations, general troubleshooting and backlog prioritization. Work with the Service Program Operations Team to review service programs, make recommendations where service programs are not meeting customer and/or ON Semiconductor objectives and project manage service program closures or changes. Coordinate with regional counterparts on Service Engagement and FMS for purposes of communication, information sharing, prioritization of FMS software changes, resource prioritization (where shared resources are involved), and continuous improvement. Interface with Service Program Operations and Logistics as required to support new service program processes and logistics partners.  This may also include interface with Supply Management. Interface with Logistics for customer bar code label and other non-standard logistics customer requirements. Overall FMS process maintenance—general troubleshooting and documented procedures Configuration management for FMS.  Focal point for any configuration changes in these systems (signoff/approval authority).  Maintain recommended settings reference documents for these systems. Provide specific service program training or subject matter expertise as needed.  Work with Customer Specialists and Service Program Analysts on new EDI and/or Service Program implementations. Manage and/or participate in key projects as determined by manager. Quality System compliance ","Requirements Bachelor degree in relevant discipline Minimum 3 years of work experience EDI/B2B Knowledge a plus Supply Chain background a plus Understanding of order to cash business processes and ability to assess/define business requirements/rules Strong Computer Skills Ability to Multi-Task Solid Communication skills, both written and verbal Strong analytical skills "
181,SYNGENTA ASIA PACIFIC PTE. LTD.,Market and Customer Insights Lead,"KEPPEL BAY TOWER, 1 HARBOURFRONT AVENUE 098632",Permanent,Middle Management,Marketing / Public Relations ,"$100,000to$150,000","Roles & ResponsibilitiesAbout Syngenta: Syngenta is a leading agriculture company helping to improve global food security by enabling millions of farmers to make better use of available resources. Through world class science and innovative crop solutions, our 28,000 people in over 90 countries are working to transform how crops are grown.   We are committed to rescuing land from degradation, enhancing biodiversity and revitalizing rural communities. About This Job:  To drive the delivery of brand and customer market insights (panel data, specific research)  combined with market foresight (market share, DnA) that develop business insights to enable informed decision making to maximise brand and portfolio health across the region. Lead the collection and dissemination of timely and actionable marketing information and recommendations based on sound research, economic trends and other internal and external data sources Design market research studies based on regional/global strategy, clearly summarize, communicate, apply knowledge gained and support implementation of recommendations. Maximize research quality, actionability and efficiency with an emerging digital landscape in focus Lead the development of customer and market insights to support the successful development of   product and business strategies Collaborate with market research providers to develop tailored output formats to enable clearer visibility of insights and trends for informed decision making. Lead Syngenta APAC into the Digital era of data collection & analytics. Create strategy & tools on insights generation on passive digital data collection platforms Lead the creation of integrated platforms for data insights and generate them into actions that are focused into business outcomes ","RequirementsKnowledge and Experiences:  5-10 years of experience in the Crop Protection or Seeds industry or significant business experience in a related industry preferably in marketing or sales roles Advanced analytical skills with experience in creating business insights and dashboards Proven track record in Market Research, Market Analysis or MaSD roles Understanding of digital marketing techniques, Latest Digital tools on Insights generation Experience in senior customer-facing roles so as to effectively manage Key Account Management relationships and negotiations   Extensive knowledge of the Country Agricultural Chemical and seeds marketplace, to be aware and prepared for opportunities, competitive activity, or development of alliances Knowledge of Government regulations and Industry codes to ensure compliance training needs and that appropriate processes and standards are in place in alignment to the broader business  Qualification:  Degree in Business, Science or Agriculture, MBA an asset Advanced skills in Excel, Word, PowerPoint, and Outlook  Other:  Permanent and Fulltime Location: Harbourfront, Singapore Business Trip: Required (5-15%) "
182,RED APRICOT PTE. LTD.,Business Analyst - Finance (Enterprise Performance Management Implementation),"OXLEY BIZHUB 2, 62 UBI ROAD 1 408734",Full Time,Professional,Information Technology,"$3,000to$5,000","Roles & ResponsibilitiesJob Summary We are hiring Business Analysts to join our team to be part of our services team and support our product deployments. You will work alongside other product and project team members. Key responsibilities will include managing our Automated tool for Enterprise Performance Management Implementations across clients.  Responsibilities include performing requirements gathering, analysis, process designing, blueprint documenting processes using our automated tool and managing user acceptance testing.  To succeed in this role, you should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users.","RequirementsPrimary Responsibilities  Perform Customer Success Owners roles for our EPM Implementations using our Automated Digital Platform. Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing our automated digital platform Staying up-to-date on the latest process and IT advancements to automate and modernize systems. Performing requirements gathering, generating Digital Blue Print and automating code creation using our digital platform. Effectively communicating your insights and plans to cross-functional team members and management. Gathering critical information from meetings with various stakeholders and producing useful reports. Working closely with clients, internal product management team, and management team. Managing competing resources and priorities. Monitoring deliverables and ensuring timely completion of projects.  Job Requirements/Qualifications/Education/Experience  A bachelor’s degree in business or related field or an MBA 3-5 years’ experience in business analysis or accounting /finance field Exceptional analytical and conceptual thinking skills The ability to influence stakeholders and work closely with them to determine acceptable solutions Advanced functional skills in finance Fundamental analytical and conceptual thinking skills Experience creating and giving business presentations to finance audiences. A track record of following through on commitments. Excellent planning, organizational, and time management skills History of leading and supporting successful projects  Preference   Singapore Citizens Prefered / Singapore PR optional     Fluent in English for verbal and written Knowledge of Project management process Good to have - Knowledge of Enterprise Performance Management process Experienced with SAP EPM technologies   "
183,GOVERNMENT TECHNOLOGY AGENCY,Business Analyst (Data Analytics),"MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",Full Time,Professional,"Information Technology, Public / Civil Service",NONE,"Roles & ResponsibilitiesBAF (Data Analytics) We are looking for Business Analysts (Data Analytics) who's interested in using data to help the government design solutions that address its policy and business problems, and stay close to the needs of the general public.  The applicant will be responsible for demonstrating how better use of data can help recommend new policies, streamline operations or bring more customised solutions for citizens. He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation.   What to Expect:  Provide data analytics consulting services to the government agencies, including data analytics planning and strategy – perform data analytics visioning and road-mapping, business case development, implementation planning, organisational planning, budget and risk management planning Work closely with stakeholders to understand their needs/pain points, scope the problem and develop business case on how to turn data into critical information and knowledge that can be used for policy making, streamlining operations or developing solutions for citizens.   Advise stakeholders on the key ICT trends and best practices in data analytics, assess applicability for adoption and recommend solution that best fits stakeholders’ needs Perform data cleaning, pre-processing and feature engineering that facilitate meaningful analysis Work closely with data scientists to mine insights from structured and unstructured data and to resolve complex statistical modelling problems to answer pertinent business questions.  Design dashboards and interactive visualization as tools for data exploration as well as for storytelling.  Present analytics insights to business users and stakeholders Work with stakeholders to ensure smooth deployment and adoption of new solution  How to Succeed:  Degree/Master in any discipline; Diploma graduates with relevant experience will also be considered. Minimum 3 years of relevant working experience Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges Understand key concepts, techniques and considerations in Machine learning and Data analytics Training and relevant experience in one or more of the following areas:   Statistical modelling tools such as: R, Python, RapidMiner, Knime, SAS, Matlab or SPSS Data manipulation using scripting languages like Python or using ETL tools Visual analytics technologies like Tableau, Qlikview or D3.js End-to-end analytics architecture, preferably with some working knowledge of big data stack   Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders Strong analytical, conceptualisation and problem solving skills Team player with strong organization and people handling skills Passion for the use of analytics and data to improve public service ",NONE
184,Ministry of Communications and Information,ASSISTANT MANAGER  /  EXECUTIVE (AUDIT UNIT),NONE,Permanent,NONE,Public / Civil Service,NONE,"Roles & ResponsibilitiesResponsibilities The Assistant Manager/Executive (Audit Unit) supports Director (Audit Unit) by conducting independent reviews and appraisals of the internal control system of the Ministry to provide reasonable assurance that an effective internal control system is in place to promote effectiveness and efficiency of operations, ensure reliability of financial reporting and maintain compliance with applicable laws and regulations. Requirements   Background in Business, Finance or Accountancy, with 1 to 2 years of relevant audit experience Knowledge in Data Analytics will be advantageous Meticulous and possess good organisational skills Good interpersonal and communication skills Able to work independently and a good team player  For more information on careers in MCI, please access the following link: http://www.mci.gov.sg/web/corp/careers",NONE
185,Company Undisclosed,"Manager, Credit Scoring Methods and Systems",NONE,"Permanent, Full Time",Manager,Risk Management,"$6,600to$12,000","Roles & ResponsibilitiesDaimler Financial Services is headquartered in Singapore for Africa and Asia Pacific region, and provides innovative financing, leasing, and insurance for passenger cars and commercial vehicles from the Daimler Group, as well as dealer financial services, commercial fleet management and mobility services. The region includes 11 markets and has approximately 1,300 employees, who are passionate about engaging customers for life and actively shaping the digital future of mobility. People are the foundation of the company’s culture, and the company was globally ranked fifth among the 25 World’s Best Multinational Workplaces by the Great Place To Work Institute in 2016. Responsible for the strategic implementation of risk rating and scoring solutions within Asia: Manage Scorecards and Business Policy Rules updates for Region AAP • Direct the implementation of scorecards and policy rules for all markets in AAP • Ensure correctness of implementation for automated credit approval levels • Lead the planning of  the regional project schedule by ensuring requirements from the markets for Scorecards and policy rules are collected • Ensure governance and compliance with local privacy and data protection laws Develop, maintain, and optimize Automated Credit Scoring processes (Decision Process, Reporting) jointly with Credit Operations • Develop requirements and criteria’s for automated conditioning and automated  declines • Measure process efficiency and develop measures to optimize processes • Lead regular monitoring and validation meetings Develop methods for additional criteria to assess credit applicants • Develop requirements for the evaluation of customer credit profiles and their related credit limits • Apply data analytics to understand customer credit profiles • Gather data and define data collection requirements with Credit Operations Support the implementation of processes for Alternative Deal Structures and Conditional Approvals • Customize Blaze to support deal structure approval walks including automated condition setting • Liaise with Netsol and markets in AAP to specify change requests on PMS/CAP/Ascent • Liaise with DTP/OCA project to implement related customizations Optimize operational and portfolio reporting (Advanced Analytics / Monitoring & Validation) • Jointly with Portfolio Risk Management and Risk Instruments HQ define functionality to embed reports in  the RAP tool or Power BI • Define reporting requirements for Risk Instruments  ","RequirementsMaster’s Degree in Mathematics, Data Science, Computer Science • Strong knowledge of SQL, Java, Python, R programming, Power BI • Knowledge of finance and controlling reporting and analysis software, e.g. R, SAS, SPSS • Excellent analytical skills including mathematics and statistics and machine learning • Skills and experience to manage projects, Project Management Certification a plus • Knowledge of risk scorecard development and portfolio risk management • Good communication and interpersonal skills • Demonstrated ability to work productively and maintain effective relationship in multidisciplinary and multicultural teams • Pro-active attitude and good problem solving skills • 3 or more years of experience in the financial services industry or similar; • Solid experience in data management and data analysis • Experience developing and programming analytical risk assessment systems and perform statistical analysis."
186,ASPIRE SYSTEMS CONSULTING PTE. LTD.,Business Analyst,"VERTEX, 33 UBI AVENUE 3 408868",Contract,Non-executive,Information Technology,"$3,000to$4,000","Roles & ResponsibilitiesLooking for a Business Analyst with minimum 2-3 Yrs of experience Responsibilities: •You assist stakeholders in understanding the challenges and functional benefits of implementing Business Profiles for role-based access •You endeavor to meet key regulatory and TRM guidelines as applied to Access Management (especially HKMA and MAS) •You contribute in maintaining quality of reference data and inventories used as part of IAM processes •You manage requirements and risks in a global/regional/local set-up and with cross-border access to applications and data •You set up and conduct meetings and workshops with business and functions representatives in order to document business scenarios and prepare the roll-out of Business Roles •You agree with business process owners on use cases and scenarios where Business Roles can be effective and beneficial to them, and you prioritize them •You directly manage every aspect of the change management execution plan by following the agreed process and procedures •You perform functional testing and obtain required sign‐off in order to guarantee a robust solution is delivered •You escalate risks and issues to stakeholders and management, and you propose and execute mitigation plans •You contribute to the production of IAM KPI, KRI, and dashboards, including for Steering Committee meetings •You help maintain project and BAU documentation •You contribute to the training of end-users using available training material Qualification: •Bachelor’s or Master’s degree in a relevant field of study •Previous experience in an international bank preferred but not mandatory •Around 2-3 years of experience as a BA","Requirements•You have acquired practical experience of IAM through your work, and your may also hold one or more security certifications •You are a high-energy individual with a strong drive to deliver tangible benefits to the Bank •You have perfect mastery of English, you have outstanding interpersonal skills and are comfortable engaging with senior stakeholders over the phone and face-to-face •You are confident and able to influence others. You can lead actions and handle situations of conflict •You are a good listener and are able to communicate technical topics using business terms •You are analytical, can translate analytical thinking into solutions and present them to stakeholders and management •You have excellent time management and are able to multi-task •You are creative, resourceful and highly motivated •You are comfortable working under supervision by a Senior Analyst"
187,Company Undisclosed,Operations Admin Executive,NONE,Full Time,Executive,Admin / Secretarial,NONE,"Roles & Responsibilities Responsible for providing effective administration support to the operations. To manage and ensure the smooth operations of the customer service centre. Responsible for seeing to the administrative support for the team in successfully implementing projects and initiatives. To facilitate and monitor daily, weekly and monthly sales and recommend suitable corrective action plans to enhance operational standards and achieve set KPIs. Co-ordinate and liaise with the Marketing department for promotions and related programmes. To work closely with cross-functional departments and ensure the successful roll-out of system enhancements and projects. Maintain and update backend system with respect to data analytics and stock replenishment. Assist with the preparation of operating budget and monthly reviews. Handle customer feedback and to make recommendations for improvement. Assist the operations team when needed, including site visits. Any other duties as assigned from time to time. ","Requirements Analytical, hands-on team player with positive and mature thinking. Meticulous, accurate and trustworthy nature. Proficient in Excel and MS Word. Able to multi-task and work independently under pressure.   "
188,CITIBANK N.A.,O&T - Senior Data & Analytics Technical Manager - Regulatory Projects - 18019080,NONE,Full Time,Senior Management,Banking and Finance,"$15,000to$22,500","Roles & ResponsibilitiesThis role is for a Senior Data & Analytics Tech Manager responsible for leading and managing the Data team in driving the implementation of Regulatory projects for the Consumer Business across 17 markets in Asia and EMEA.   Responsibilities:   Leading,  tracking and driving the progress of all work-streams (requirements, development, testing, operational readiness, data readiness, etc.) of the program   Organizing and leading regular discussions with the relevant business, technology teams and operational groups as required by any work-stream of the program   Making presentations to the program Steering Committee/GCT seniors  for reporting project progress and escalating issues   Understand and translate impact into consumer commitments for systems, data privacy, data quality issues or any other issues arising during the planning and implementation phases   To apply online via the careers section of Citi E career website, please click via the link below: https://citi.taleo.net/careersection/2/jobdetail.ftl?lang-en&job=18019080","Requirements  University graduate with 10+ years of analytical work experience preferred, with a strong understanding of data, data warehouse architecture. Knowledge of Data tools (e.g. SAS, SQL, Tableau etc.) and data processing experience is required.   Strong understanding of the Cards and Retail products/business, organization processes supporting technology platforms, data flows and interfaces,   Possess good technical understanding of data architecture, data quality and related technologies along with data quality management principles.   Proven project management experience, with good planning and organizational skills and strong ability to take ownership and drive projects independently   Proactive and resourceful problem solver who takes the lead to work with internal stakeholders in a collaborative manner to help deliver solutions that benefit the business   Strong stakeholder management skills (e.g. written and verbal communication, influencing and negotiation) with ability to effectively interact with senior internal stakeholders and cross functional teams   Ability to prioritize tasks and work under multiple time zones and tight schedule   Strong execution and implementation mindset and track record.  "
189,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
190,ADECCO PERSONNEL PTE LTD,Big Data Software Engineer,"SHAW CENTRE, 1 SCOTTS ROAD 228208","Contract, Full Time","Professional, Executive","Banking and Finance, Information Technology","$6,000to$10,000","Roles & ResponsibilitiesThe department is responsible for development and maintenance of Risk and Finance applications used by worldwide users covering Market Risk, Counterparty Risk, Finance domain. The applications are in-house developments with a mix of Microsoft and open source technologies.  The open position is to join one major investment project to tackle the regulatory requirement by redesigning information system platform to be global and adaptable enabling automated reporting and real-time processing and monitoring. The project will transform application landscape and bring it to the next level.  Main Responsibilities:  Lead technical study into a propose solution, while involving expertise from infrastructure big data expert, business analyst requirement Document proposed design and develop the solution Implicitly ensure all CI-CD artefacts are part of the solution Perform code review while fostering knowledge and coaching best practices to team members Interact and provide reporting to project managers Monitor technical risk and escalate appropriately to management  The position requires autonomy and reliability in performing duties with initiatives and leadership when it comes to all non-functional deliverables such as testing tools, mocking objects, production monitoring concerns, quality control including performance and load testing.","Requirements At least 7 years in Software development At least 6 years in Java/J2EE development At least 4 years experience in streaming solution Hands on Data ingest and data processing technology like Spark streaming and Spark Hands on Messaging systems like Kafka, Flume or ActiveMQ, MQSeries or RabitMQ Hands on knowledge on Hadoop (preferably Hortonworks distribution) - HDFS, HBase, Hive, ORC/Parquet Build tool - Maven/sbt/ant, UML, Restful web services, Jenkins/Team City, Source management – SVN/GIT, TDD using Junit, Jira/QC  Good to have:  Solution design using proven patterns, awareness of anti-patterns, performance tuning, especially in streaming Knowledge of tools like Phoenix, ElasticSearch, Sqoop, StreamSets are good to have. Basic understanding of finance and investment banking  Other Professional Skills and Mind-set  Excellent written and verbal communication skills for both team mates and management Strong analytical and problem solving skills Proficient software development life cycle Appetite to follow technology trend and participate to communities  Prepare your resume in word document (please include your current salary package with full breakdown such as base, incentives, annual wage supplement etc.) and expected package with your notice period (Including leaves to offset) and email it to TechnicalStaffing@adecco.com All shortlisted candidates will be contacted.  "
191,MALTEM ASIA PTE. LTD.,Cognos Project Manager,"THE ARCADE, 11 COLLYER QUAY 049317","Permanent, Full Time",Executive,Information Technology,"$3,500to$5,000","Roles & ResponsibilitiesResponsibilities •           Manage and translate business requirements into strategic technical solutions, •           Design and develop new BI applications, such as debugging, adding new querying tools, platform/data, •           Integrate data from various sources to identify and resolve inconsistencies between IT systems, •           Provide visibility of Cognos Business Intelligence, including design, development, implementation and maintenance of data and reporting tools, •           Coordinate project management activities, resources, equipment and information","RequirementsSkills & Qualifications (Must have) •           Deep knowledge of Cognos data management and process design, •           Good understanding and experience in Project Management, •           Proven experience in budgeting and forecasting, •           Proven experience in designing and managing a complex project roadmap   (Good to have) •           IBM Cognos certifications will be a plus, •           Strong communication and interpersonal skills, both at business level and technical level (e.g. architects, developers), •           Strong multi-tasking and organizational skills, •           Strong problem-solving and planning abilities, high improvement focus, and ability to work in a fast-paced environment, •           Good strategic thinking in identifying solutions and selecting the best combination of practices, •           Experience of delivering complex programs and managing multicultural and distributed teams within global organizations with many stakeholders, •           Experience with Scrum or other Agile methodologies, •           Experience in Logistics sector"
192,Company Undisclosed,Systems Developer,NONE,"Permanent, Full Time",Junior Executive,Information Technology,"$2,500to$4,000","Roles & ResponsibilitiesThe Systems Developer will be technically versed in MS-SQL Database, VB.NET and Crystal Reporting, working in a source code controlled environment and able to debug and re-write inefficient Crystal Reports used by Finance Dept.   Position Responsibilities:   MAINTAIN existing Crystal Reports used by Finance team. UPGRADE existing Database to MS-SQL 2014, working closely with the DBA and Windows Citrix team and Finance users to test changes. Knowledge of VB.NET or C# for any ad-hoc small scripting required by Finance for reporting or report extraction from MS-SQL Database. Document any amended or created VB.NET codes properly based on business requirements. Develop, assemble, integrate and test components that meet the business requirements Liaise with Business Analyst and Quality Assurance Analyst to ensure requirement compliance and test coverage Express issues in a clear, consistent and understandable manner (written, verbal). Take ownership of all assigned tasks and project related assignments. Ensure direct communication over email/ticketing chain to ensure timely resolution of identified issues. ","RequirementsPosition Requirements:   Programming skills for min 1-4 years with MS-SQL, Crystal Reports, VB.NET or C#  Database driven applications (MS SQL SERVER is a must, or Oracle, MySQL) Development Collaboration Suite (Rally, JIRA, HP QC, SharePoint or equivalent) Document Development standards. Unit testing framework as well as related tools. Team Player within a multicultural and distributed environment (ability to communicate effectively in conference call settings). Developing and integrating in web based applications A plus to have Continuous Integration environment (TFS, SVN, Jenkins, Maven, Nexus or equivalent)  Education/Experience   GOOD Attitude and proven to deliver tasks on time. Diploma, Bachelors or Masters of Science in Computer Science or equivalent Effective Oral and Written communication skills Multi-cultural experience on geographically distributed projects is a plus. Travel Industry related experience is a plus. "
193,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
194,OVERSEA-CHINESE BANKING CORPORATION LIMITED,Market Risk Analyst,63 CHULIA STREET 049514,Full Time,"Fresh/entry level, Executive",Banking and Finance,"$3,000to$5,000","Roles & ResponsibilitiesTeam description The MRM-ALM (Asset Liability Management) team in Group Risk is responsible for providing independent risk control and managing liquidity risk and banking book interest rate risk. The Policy and Supervision team with MRM-ALM is responsible for reviewing and updating ALM policies, risk analytics and supervision of overseas ALM teams.   Key Responsibilities The candidate would be part of the team responsible for supervision of overseas ALM teams which will provide wide exposure to ALM policies, framework and risk management practices across locations. The candidate would also have the opportunity to be part of discussions at Local ALCO (Asset Liability Management committees) for select locations, as part of the Group oversight role.  Provide group oversight to select overseas locations by attending local ALCOs, reviewing local policy updates and reviewing model updates and back-testing. Provide timely analysis on liquidity related issues and ad-hoc data and analytical support for senior management. This will include generation of a monthly dashboard for senior management summarizing balance sheet movements and risk positions for overseas locations Assist in conducting annual liquidity /market risk limits review for select locations in liaison with Treasury and Branch Management, taking into consideration the changing business and regulatory needs at each location. Provide inputs on the reasonableness, relevance and appropriateness of limits from a risk point of view Consolidate and monitor daily/monthly liquidity and interest rate profile of overseas entities against risk limits / MATs and assist in related escalation processes Supported senior management in the NPAP process by conducting the initial review and initiating discussions with businesses to address ALM concerns. Support project activities related to infrastructure roll-out for overseas locations as required. ",Requirements Effective interpersonal skills Good oral and written communication skills Motivation to understand business rationale and analyse potential risks Ability to multi task and work independently Basic understanding of balance sheet / ALM concepts 
